epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2557.55,0.9382,0.49055,0.99375,0.9833,0.99488,0.995,0.76675,0.89097,0.38406,0.98149,0.000983666,0.000983666,0.000983666
43,2617.68,0.94025,0.50024,0.9953,0.97383,0.98737,0.9936,0.76989,0.88102,0.37511,0.97981,0.000982864,0.000982864,0.000982864
44,2679.29,0.93573,0.48707,0.9916,0.97465,0.99019,0.99442,0.76214,0.91061,0.38231,0.98787,0.000982043,0.000982043,0.000982043
45,2740.98,0.93708,0.48929,0.99005,0.98166,0.98625,0.99483,0.76759,0.88186,0.38038,0.97514,0.000981204,0.000981204,0.000981204
46,2803.61,0.93417,0.49575,0.98729,0.97805,0.99304,0.99488,0.7689,0.8887,0.3823,0.98316,0.000980345,0.000980345,0.000980345
47,2865,0.92882,0.48933,0.9929,0.96968,0.98187,0.99081,0.75245,0.91132,0.39749,0.98988,0.000979468,0.000979468,0.000979468
48,2925.04,0.92905,0.49133,0.99176,0.96907,0.99641,0.99458,0.77046,0.88082,0.37129,0.97722,0.000978572,0.000978572,0.000978572
49,2986.02,0.92527,0.48105,0.98581,0.97891,0.99133,0.99384,0.76861,0.87952,0.36885,0.97333,0.000977658,0.000977658,0.000977658
50,3046.34,0.91789,0.48266,0.98295,0.97718,0.98325,0.99381,0.76253,0.90094,0.37977,0.98733,0.000976725,0.000976725,0.000976725
51,3106.33,0.92352,0.48138,0.98165,0.9734,0.99394,0.99429,0.7585,0.89563,0.38333,0.98325,0.000975773,0.000975773,0.000975773
52,3167.42,0.92163,0.4756,0.98643,0.97496,0.98938,0.99458,0.75849,0.91699,0.38091,0.99401,0.000974803,0.000974803,0.000974803
53,3227.85,0.91945,0.47872,0.98829,0.97407,0.97837,0.99352,0.7536,0.93338,0.39576,1.004,0.000973814,0.000973814,0.000973814
54,3287.17,0.91257,0.46906,0.98728,0.97528,0.98628,0.99429,0.77183,0.89717,0.37076,0.98059,0.000972806,0.000972806,0.000972806
55,3347.52,0.91218,0.4673,0.98026,0.97101,0.98267,0.99239,0.7659,0.88482,0.37288,0.97408,0.00097178,0.00097178,0.00097178
56,3407.44,0.91767,0.46772,0.98185,0.97581,0.98776,0.99442,0.75937,0.90062,0.37409,0.98626,0.000970736,0.000970736,0.000970736
57,3467.41,0.90798,0.46855,0.97767,0.97111,0.97865,0.99048,0.76779,0.88002,0.37523,0.97373,0.000969673,0.000969673,0.000969673
58,3528.42,0.89968,0.47372,0.97951,0.96939,1,0.995,0.77684,0.86027,0.35567,0.96351,0.000968592,0.000968592,0.000968592
59,3589.51,0.90121,0.45809,0.976,0.97988,0.98926,0.995,0.76896,0.87562,0.36184,0.97673,0.000967493,0.000967493,0.000967493
60,3650.01,0.90838,0.46537,0.98038,0.96694,0.98069,0.99374,0.77012,0.88067,0.38109,0.97584,0.000966375,0.000966375,0.000966375
61,3711.82,0.89385,0.46124,0.9816,0.9799,0.9891,0.99488,0.76556,0.88503,0.36014,0.98472,0.000965239,0.000965239,0.000965239
62,3773.68,0.90801,0.46305,0.9815,0.97634,0.98542,0.99488,0.76295,0.88823,0.36916,0.9819,0.000964085,0.000964085,0.000964085
63,3834.89,0.8945,0.4615,0.97557,0.98723,0.99088,0.995,0.77339,0.88058,0.3551,0.97061,0.000962913,0.000962913,0.000962913
64,3895.08,0.886,0.45495,0.97351,0.98108,0.98516,0.995,0.76653,0.88439,0.36449,0.97969,0.000961723,0.000961723,0.000961723
65,3957.18,0.89856,0.45579,0.97817,0.97622,0.98774,0.99217,0.75861,0.90334,0.37353,0.97935,0.000960515,0.000960515,0.000960515
66,4019.14,0.89313,0.45071,0.97452,0.96978,0.99419,0.995,0.76022,0.89499,0.36654,0.99091,0.000959289,0.000959289,0.000959289
